dataProcessDependencyId,dataProcess,sourceObjectSchema,sourceObjectName,destinationObjectSchema,destinationObjectName,isEnabled,isTestPromoteEnvironment,isProdPromoteEnvironment
1044,gold,conformed,dim_project,project_management,fact_actuals_lod_9,1,1,1
1045,gold,project_management,dim_cost_item,project_management,fact_actuals_lod_9,1,1,1
1046,gold,project_mgmt_core,dim_acs,project_management,fact_actuals_lod_9,1,1,1
1052,gold,NULL,NULL,project_management,project_employee_role,1,1,1
1053,gold,NULL,NULL,enterprise_reporting,it_employee_hours,1,1,1
1054,gold,NULL,NULL,conformed,dim_employee,1,1,1
1057,gold,NULL,NULL,bridgit_reporting,access_token_bridgit,NULL,1,1
1058,gold,NULL,NULL,bridgit_reporting,dim_person,1,1,1
1059,gold,NULL,NULL,bridgit_reporting,dim_project_bridgit,1,1,1
1060,gold,NULL,NULL,bridgit_reporting,dim_role,1,1,1
1061,gold,NULL,NULL,bridgit_reporting,fact_allocations,1,1,1
1062,gold,bridgit_reporting,dim_person,bridgit_reporting,fact_allocations,1,1,1
1063,gold,bridgit_reporting,dim_project_bridgit,bridgit_reporting,fact_allocations,1,1,1
1064,gold,bridgit_reporting,dim_role,bridgit_reporting,fact_allocations,1,1,1
1065,gold,conformed,dim_date,bridgit_reporting,fact_allocations,1,1,1
1086,gold,NULL,NULL,ineight_schedule,dim_activity_code,1,1,1
1087,gold,NULL,NULL,ineight_schedule,dim_group,1,1,1
1088,gold,NULL,NULL,ineight_schedule,dim_task,1,1,1
1089,gold,NULL,NULL,ineight_schedule,dim_wbs,1,1,1
1090,gold,NULL,NULL,ineight_schedule,fact_task,1,1,1
1091,gold,NULL,NULL,ineight_schedule,fact_task_baseline,1,1,1
1092,gold,NULL,NULL,ineight_schedule_v,fact_task_baseline_current_v,1,1,1
1093,gold,NULL,NULL,ineight_schedule_v,fact_task_current_v,1,1,1
1094,gold,conformed,dim_project,ineight_schedule,dim_activity_code,1,1,1
1095,gold,conformed,dim_project,ineight_schedule,dim_task,1,1,1
1096,gold,conformed,dim_project,ineight_schedule,dim_wbs,1,1,1
1097,gold,conformed,dim_project,ineight_schedule,fact_task,1,1,1
1098,gold,conformed,dim_project,ineight_schedule,fact_task_baseline,1,1,1
1099,gold,ineight_schedule,dim_task,ineight_schedule,dim_activity_code,1,1,1
1100,gold,ineight_schedule,dim_task,ineight_schedule,fact_task,1,1,1
1101,gold,ineight_schedule,dim_task,ineight_schedule,fact_task_baseline,1,1,1
1102,gold,ineight_schedule,dim_wbs,ineight_schedule,fact_task,1,1,1
1103,gold,ineight_schedule,dim_wbs,ineight_schedule,fact_task_baseline,1,1,1
1104,gold,ineight_schedule,fact_task,ineight_schedule_v,fact_task_current_v,1,1,1
1105,gold,ineight_schedule,fact_task_baseline,ineight_schedule_v,fact_task_baseline_current_v,1,1,1
1056,gold,NULL,NULL,operation_financials,fact_project_labor_cost,NULL,1,1
1039,gold,NULL,NULL,enterprise_reporting,in8_cr,NULL,1,1
1055,gold,NULL,NULL,operation_financials,timesheet_compliance,NULL,1,1
1066,gold,NULL,NULL,origami,equipment,1,1,1
1067,gold,NULL,NULL,origami,locations,1,1,1
1068,gold,NULL,NULL,textura,bridge_project_user_role_textura,NULL,1,1
1069,gold,NULL,NULL,textura,dim_contract_textura,NULL,1,1
1070,gold,NULL,NULL,textura,dim_draw_textura,NULL,1,1
1071,gold,NULL,NULL,textura,dim_project_textura,NULL,1,1
1072,gold,NULL,NULL,textura,dim_subcontractor,NULL,1,1
1073,gold,NULL,NULL,textura,dim_supplier_tracking,NULL,1,1
1074,gold,NULL,NULL,textura,dim_user_textura,NULL,1,1
1075,gold,NULL,NULL,textura,fact_budget_line_textura,NULL,1,1
1076,gold,NULL,NULL,textura,fact_change_order_textura,NULL,1,1
1077,gold,NULL,NULL,textura,fact_invoice_approval_textura,NULL,1,1
1078,gold,NULL,NULL,textura,fact_invoice_line_textura,NULL,1,1
1079,gold,NULL,NULL,textura,fact_invoice_textura,NULL,1,1
1080,gold,NULL,NULL,textura,fact_lien_waiver_textura,NULL,1,1
1081,gold,NULL,NULL,textura,fact_payment_hold_textura,NULL,1,1
1082,gold,NULL,NULL,textura,fact_payment_textura,NULL,1,1
1083,gold,NULL,NULL,textura,fact_supplier_tracking,NULL,1,1
1084,gold,conformed,dim_project,origami,locations,1,1,1
1085,gold,equipment,fact_equipment_status_history,origami,equipment,1,1,1
